"taxpayer_id","document_type","document_number","full_name","first_name","last_name_father","last_name_mother","taxpayer_status","address_condition","ubigeo_code","dni","trade_name","registration_date","activity_start_date","company_url","economic_activity","ciiu_code","taxpayer_type","deactivation_date","email","website","phone","street_address","department_name","province_name","district_name","updated_at","created_at"
298,"20","20605078789","CORPORACION ALBERTO S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150101",NULL,"-","02/08/2019","02/08/2019","corporacion-alberto-sac","ACABADO DE PRODUCTOS TEXTILES","1313","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"HUALLAGA NRO. 873","LIMA","LIMA","LIMA","2026-04-26 17:09:23.445-05","2025-09-29 17:30:50.325945-05"
300,"20","20605103589","CV INVESTMENTS S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","08/08/2019","08/08/2019","cv-investments-sac","CONSULTORÍA DE INFORMÁTICA Y GESTIÓN DE INSTALACIONES INFORMÁTICAS","6202","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"REPUBLICA DE PANAMA NRO. 5893","LIMA","LIMA","MIRAFLORES","2026-04-26 17:10:11.666-05","2025-09-29 17:30:50.325945-05"
401,"20","20605107258","COMUNIDAD CAMPESINA DE YARUMAYO",NULL,NULL,NULL,"ACTIVO","HABIDO","100110",NULL,"-","09/08/2019","09/08/2019","comunidad-campesina-de-yarumayo","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","COMUNIDAD CAMPESINA, NATIVA",NULL,NULL,NULL,NULL,"SAN JOSE DE CHILLIAN LOTE. 24","HUANUCO","HUANUCO","YARUMAYO","2026-04-26 17:10:59.715-05","2025-09-29 17:30:51.591234-05"
403,"20","20605116800","AVENIDA PEDRO DE OSMA N° 142-144-146 DISTRITO DE BARRANCO",NULL,NULL,NULL,"ACTIVO","HABIDO","150104",NULL,"-","12/08/2019","12/08/2019","avenida-pedro-de-osma-n-142-144-146-distrito-de-barranco","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","JUNTA DE PROPIETARIOS",NULL,NULL,NULL,NULL,"PEDRO DE OSMA NRO. 144 INT. 404","LIMA","LIMA","BARRANCO","2026-04-26 17:12:35.86-05","2025-09-29 17:30:51.591234-05"
404,"20","20605123407","AAROM INGENIEROS CONSULTORES & CONSTRUCTORES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",NULL,NULL,NULL,"ACTIVO","HABIDO","100111",NULL,"AAROM INGENIEROS C&C E.I.R.L","13/08/2019","13/08/2019","aarom-ingenieros-consultores-constructores-empresa-individual-de-responsabilidad-limitada","ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA","7110","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"SAN ANDRES URB. CORAZON DE JESUS MZA. D LOTE. 01","HUANUCO","HUANUCO","PILLCO MARCA","2026-04-26 17:13:23.919-05","2025-09-29 17:30:51.591234-05"
405,"20","20261785413","ASOC.IGLESIA EVANGELICA REY DE REYES",NULL,NULL,NULL,"ACTIVO","HABIDO","070101",NULL,"-","18/01/1995","18/01/1995","asociglesia-evangelica-rey-de-reyes","ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS","9491","ASOCIACION",NULL,NULL,NULL,NULL,"SECTOR 2 A.H. SARITA COLONIA NRO. A INT. 5","CALLAO","CALLAO","CALLAO","2026-04-26 17:14:11.983-05","2025-09-29 17:30:51.591234-05"
406,"20","20262502423","GLOBAL MARINE SURVEYORS GROUP S.A.C",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","02/02/1995","01/03/1995","global-marine-surveyors-group-sac","VENTA AL POR MAYOR NO ESPECIALIZADA","4690","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"LARCO NRO. 743","LIMA","LIMA","MIRAFLORES","2026-04-26 17:15:00.082-05","2025-09-29 17:30:51.591234-05"
407,"20","20605123431","MAQUINARIA TOTAL E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150115",NULL,"-","13/08/2019","13/08/2019","maquinaria-total-eirl","VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO","4659","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"NICOLAS ARRIOLA NRO. 2323","LIMA","LIMA","LA VICTORIA","2026-04-26 17:15:48.254-05","2025-09-29 17:30:51.591234-05"
408,"20","20605129693","RMS INGENIEROS CONTRATISTAS  E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","110201",NULL,"-","14/08/2019","14/08/2019","rms-ingenieros-contratistas-eirl","CONSTRUCCIÓN DE EDIFICIOS","4100","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"PANAMERICANA SURKM 201- NRO. SN","ICA","CHINCHA","CHINCHA ALTA","2026-04-26 17:16:36.25-05","2025-09-29 17:30:51.591234-05"
410,"20","20605136550","SAFEBOX PAY PERU S.A.C.",NULL,NULL,NULL,"ACTIVO","HABIDO","150121",NULL,"-","16/08/2019","01/09/2019","safebox-pay-peru-sac","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","9200","SOCIEDAD ANONIMA CERRADA",NULL,NULL,NULL,NULL,"SUCRE NRO. 1380","LIMA","LIMA","PUEBLO LIBRE","2026-04-26 17:17:24.245-05","2025-09-29 17:30:51.591234-05"
411,"20","20605154281","EL SOL ARELLANO EIRL",NULL,NULL,NULL,"ACTIVO","HABIDO","150114",NULL,"CAMBIOSOL","20/08/2019","20/08/2019","el-sol-arellano-eirl","OTROS TIPOS DE INTERMEDIACIÓN MONETARIA","6419","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"LA MOLINA URB. RESID. MONTERRICO NRO. 740","LIMA","LIMA","LA MOLINA","2026-04-26 17:18:12.309-05","2025-09-29 17:30:51.591234-05"
412,"20","20605113649","PROEQUIDAD EN SALUD - PROEQUIDAD",NULL,NULL,NULL,"ACTIVO","HABIDO","150141",NULL,"-","12/08/2019","01/09/2019","proequidad-en-salud-proequidad","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"OCTAVIO PAZCALERA LA ME NRO. 255","LIMA","LIMA","SURQUILLO","2026-04-26 17:19:00.372-05","2025-09-29 17:30:51.591234-05"
414,"20","20475523891","ASOCIACION FONDO PARA EL DESARROLLO DE LAS PYMES",NULL,NULL,NULL,"ACTIVO","HABIDO","150122",NULL,"-","14/07/2009","02/10/2000","asociacion-fondo-para-el-desarrollo-de-las-pymes","ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.","9499","ASOCIACION",NULL,NULL,NULL,NULL,"PASEO DE LA REPUBLICA NRO. 6236","LIMA","LIMA","MIRAFLORES","2026-04-26 17:19:48.369-05","2025-09-29 17:30:51.591234-05"
415,"20","20475515952","INFORMATIC TECNOLOGY CENTER BUSSINES & SUPPORT EIRL -  I.T.C. BUSSINES & SUPPORT E.I.R.L.",NULL,NULL,NULL,"ACTIVO","HABIDO","150128",NULL,"-","28/09/2000","01/10/2000","informatic-tecnology-center-bussines-support-eirl-itc-bussines-support-eirl","CONSULTORÍA DE INFORMÁTICA Y GESTIÓN DE INSTALACIONES INFORMÁTICAS","6202","EMPRESA INDIVIDUAL DE RESP. LTDA",NULL,NULL,NULL,NULL,"P. DE ONDEGARDO NRO. 550","LIMA","LIMA","RIMAC","2026-04-26 17:20:36.844-05","2025-09-29 17:30:51.591234-05"
